"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"phenoid"	"RNA_snn_res.2"	"seurat_clusters"	"ident"	"sizeFactor"	"TSNE_1"	"TSNE_2"
"cell_266"	1	7883	1667	3	30	8	8	0.489614240208187	-1.97122440882748	3.497221083886
"cell_267"	1	32992	3309	3	10	18	18	2.13699778777803	0.813088376654249	1.75330174998446
"cell_268"	1	8950	1785	3	14	21	21	0.545263568567507	-4.77255717760547	-2.468613171955
"cell_269"	1	13181	2261	3	11	19	19	0.835815191730156	-1.04894164039919	1.8068149825373
"cell_270"	1	18180	2564	3	24	4	4	1.14564276351868	-0.50894263956639	-0.291419035006569
"cell_271"	1	3146	847	3	32	10	10	0.196808323337168	-0.748718414006864	4.25149341886673
"cell_272"	1	16521	2472	3	3	11	11	1.01424244413561	-0.713741076842777	-2.82576387361328
"cell_273"	1	16271	2447	3	16	23	23	0.949095695258884	-2.94945213385182	-1.23090933937668
"cell_274"	1	20602	2695	3	13	3	3	1.20788003443015	0.860433510111732	0.691990454207829
"cell_275"	1	9818	1939	3	4	12	12	0.642546747548641	-0.246173793805927	1.28318859249647
"cell_276"	1	17703	2590	3	5	13	13	1.09839536539543	-1.8532628188621	2.23137301009276
"cell_277"	1	24025	2986	3	14	21	21	1.56664088457578	0.770488530035537	0.383483043446048
"cell_278"	1	24659	2930	3	4	12	12	1.45512586541571	0.201559054252878	0.111684813468817
